category,sub_category,defect,sample_defect,user_modification_goal,user_modification_request
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Object (screen) looks very bare,Add useful visual structure,"Add enough labels, grouping, borders, or explanatory content so this area no longer feels empty or unfinished."
Interface,GUI structure and aesthetics,"Object appearance (icon, menu item, scroll bar, button, favicon etc)",Words/ name on object are not completely visible,Show complete names and labels,Expand or wrap this label so the full words are visible without hovering or opening another view.
Interface,GUI structure and aesthetics,Object (screen) layout,Improper use of screen width and length,Use screen space more effectively,Rearrange this layout so the available width and height are used for the content I care about.
Interface,GUI structure and aesthetics,Object (screen) layout,Inconsistent margins on screen,Make spacing consistent,Normalize the margins and padding around these elements so the page feels aligned and readable.
Interface,GUI structure and aesthetics,Object (screen) layout,Limited space for displaying object,Create enough room for content,Give this content more space by expanding its container or reducing nearby clutter.
Interface,GUI structure and aesthetics,Object (screen) layout,Inconsistent/ incorrect object (screen) placement,Place elements where I expect them,Move this element to a more logical location relative to the content or action it belongs to.
Interface,GUI structure and aesthetics,Object (screen) layout,Object (screen) not resizable/stretchable,Allow flexible sizing,Make this panel or element resizable so I can choose how much space it takes.
Interface,GUI structure and aesthetics,Object (screen) layout,Object (screen) do not automatically resize to fit in content,Auto-fit content inside containers,"Make this container expand, wrap, or shrink so its content fits without overflow."
Interface,GUI structure and aesthetics,Object (screen) layout,Object (screen) is misaligned,Align related elements,Align these elements along a common edge or baseline so the layout is easier to scan.
Interface,GUI structure and aesthetics,Object (screen) layout,Unnecessary screen,Remove unnecessary screens or panels,"Hide this extra screen, panel, or modal because it interrupts my current workflow."
Interface,GUI structure and aesthetics,Object (screen) layout,Object (screen) blocking the page,Prevent overlays from blocking content,"Move, shrink, or dismiss this blocking element so I can see and use the page behind it."
Interface,GUI structure and aesthetics,Object (screen) layout,Object (screen) cannot reposition/ reordered,Let me reorder interface sections,"Allow this card, column, or section to be moved to the position that fits my workflow."
Interface,GUI structure and aesthetics,Object (screen) layout,Incorrect screen maximized/resized behavior,Make maximize and resize behavior predictable,"Change this view so maximizing, restoring, or resizing it preserves a usable layout."
Interface,GUI structure and aesthetics,Object (screen) layout,Incorrect hidden/ unhidden object (screen) behavior,Control hidden and visible states,Let me reliably show or hide this element and remember my choice.
Interface,GUI structure and aesthetics,Object (screen) state,Incorrect object (screen) activation and deactivation behavior,Make enable/disable behavior clear,Change this control so activating or deactivating it is obvious and works consistently.
Interface,GUI structure and aesthetics,Object (screen) state,Indistinguishable between active and inactive object (screen),Differentiate active and inactive items,Add stronger styling so I can immediately tell which item is active and which items are inactive.
Interface,GUI structure and aesthetics,Object (screen) state,Incorrect object (screen) select / deselect behavior,Make selection behavior predictable,"Change this list or control so selecting and deselecting items follows clear, consistent rules."
Interface,GUI structure and aesthetics,Object (screen) state,Incorrect object (screen) visibility behavior,Make visibility behavior predictable,"Ensure this element appears, disappears, or stays visible only when that behavior helps my task."
Interface,GUI structure and aesthetics,Object (screen) state,Incorrect/ unclear current object (screen) state,Clarify current state,"Add a visible state label, highlight, or status marker that tells me what mode or state this element is in."
Interface,GUI structure and aesthetics,Object (screen) state,Slow object state change,Make state changes feel immediate,Reduce the delay after I change this setting or add an interim loading indicator.
Interface,GUI structure and aesthetics,Object (screen) state,Slow screen refresh,Keep refreshed content responsive,Refresh this area faster or show a lightweight placeholder while new content loads.
Interface,GUI structure and aesthetics,Object (screen) state,Screen do not automatically load content/ refresh,Automatically refresh important content,Make this screen load or refresh the relevant content automatically without requiring a manual reload.
Interface,GUI structure and aesthetics,Object (screen) state,Cursor loss focus,Preserve typing focus,Keep the cursor in the field I am editing unless I intentionally move it.
Interface,GUI structure and aesthetics,Object (screen) state,Incorrect object (screen) focus,Send focus to the right element,"After this action, place keyboard focus on the next element I need instead of an unrelated area."
Interface,GUI structure and aesthetics,Object (screen) state,No visual cue to screen (object) existence,Make hidden elements discoverable,"Add a subtle handle, placeholder, or hint so I know this panel or control exists."
Interface,GUI structure and aesthetics,Object (screen) state,Object action is not properly set,Connect controls to the right actions,Make this control perform the action its label or position implies.
Interface,GUI structure and aesthetics,Object (screen) state,Inappropriate/ incorrect screen navigational,Improve navigation structure,"Change the navigation so the next, back, close, and section links lead where I expect."
Interface,Information presentation,Data presentation,Missing default data,Pre-fill sensible defaults,Add a default value or starting selection that matches the common or previously used choice.
Interface,Information presentation,Data presentation,Data not selected,Make current data selection explicit,Preselect the relevant data or make it clear that I need to choose an item before continuing.
Interface,Information presentation,Data presentation,Object does not remember last selection,Remember my last choice,"Remember the option, tab, filter, or item I selected last time and restore it when I return."
Interface,Information presentation,Data presentation,Data is not populated in the object (screen),Populate empty views with available data,"Show the available data in this view instead of leaving the list, table, or field empty."
Interface,Information presentation,Data presentation,Incorrect data type and format,Use the right data format,"Reformat this value into the type and format I need, such as date, currency, unit, or label."
Interface,Information presentation,Object (screen) naming and labeling,Misspelled/ mislabeled label,Correct visible text errors,Fix the spelling or wording of this label so it reads correctly.
Interface,Information presentation,Object (screen) naming and labeling,Label name is not intuitive,Make labels understandable,"Rename this label so it clearly describes the action, field, or content in plain language."
Interface,Information presentation,Object (screen) naming and labeling,Incorrect use of labeling standard,Use consistent label conventions,"Apply a consistent naming style to this label, matching the rest of the interface."
Interface,Information presentation,Object (screen) naming and labeling,Inconsistent menu labeling format,Standardize menu wording,"Rename menu items so they use the same tense, capitalization, and structure."
Interface,Information presentation,Non-message feedback,Missing visual cues,Add visual cues for meaning,"Add an icon, highlight, boundary, or hint that shows what this element is and how to use it."
Interface,Information presentation,Non-message feedback,Misunderstanding of visual cues,Make cues unambiguous,"Change this cue so its meaning is obvious, or add a short explanation beside it."
Interface,Information presentation,Non-message feedback,Irritating/ unnecessary animation on the progress bar,Calm progress feedback,Replace the irritating progress animation with a calmer progress indicator.
Interface,Information presentation,Non-message feedback,Incorrect/ missing/ non-informative indicator,Make indicators informative,"Add or revise this indicator so it tells me the status, count, progress, or availability I need."
Interface,Information presentation,Non-message feedback,No warning indicator in the screen,Warn before risky situations,"Add a warning indicator where this screen has a risk, missing requirement, or important limitation."
Interface,Information presentation,Non-message feedback,Inappropriate use of dialog feedback,Use dialogs only when helpful,Replace this dialog with inline feedback or simplify it so it does not interrupt unnecessarily.
Interface,Information presentation,Error/ notification and feedback message,Inconsistent message,Make messages consistent,"Rewrite related messages so they use consistent wording, tone, and severity labels."
Interface,Information presentation,Error/ notification and feedback message,Inappropriate/ irrelevant message,Remove irrelevant messages,Hide or replace this message because it is not relevant to what I am doing.
Interface,Information presentation,Error/ notification and feedback message,Incorrect/ misleading/ insufficient message,Make messages accurate and sufficient,"Rewrite this message so it explains what happened, why it matters, and what I can do next."
Interface,Information presentation,Error/ notification and feedback message,Message is too verbose/ non-informative,Make messages concise and useful,Shorten this message and keep only the information needed to decide the next action.
Interface,Information presentation,On screen text and results,Missing/ incomplete/ misleading information,Show the information I need,"Add, correct, or clarify the missing information directly in this view."
Interface,Information presentation,On screen text and results,Content is not updated,Keep displayed content current,Update this content automatically or add a refresh control that shows when it was last updated.
Interface,Information presentation,On screen text and results,Unsupported format to display content,Convert unsupported content into a usable form,"Display this content in a format my browser can show, or provide a readable fallback."
Interface,Information presentation,Menu structure,Irrelevant of main options to sub-options,Align sub-options with main options,Reorganize these sub-options so each one appears under the main option where I would look for it.
Interface,Information presentation,Menu structure,Inappropriate menu option,Remove or rename unsuitable menu options,"Change this menu option so it is appropriate for the current context, or hide it from this view."
Interface,Information presentation,Menu structure,Unorganized menu organization/ structure,Organize menus for scanning,"Group, sort, or separate menu items so I can find the option I need quickly."
Interface,Information presentation,Menu structure,Obsolete menu option,Remove obsolete options,Hide this outdated menu option so it no longer distracts from current actions.
Interface,Information presentation,Menu structure,Missing relevant menu option,Add a needed menu option,Add the missing option to this menu so I can reach that action from here.
Interface,Information presentation,Menu structure,Misplaced menu option,Put menu items in expected locations,Move this menu option to the section where I naturally expect to find it.
Interface,Audibleness,Voice and sounds,Inappropriate video/ audio behavior,Control audio and video behavior,"Mute, pause, stop autoplay, or expose playback controls for this audio or video element."
Interface,Audibleness,Text/ feedback in speech,NS,Control spoken feedback,"Add a way to enable, disable, or adjust spoken feedback for this content."
Interaction,Manipulation,Keyboard press,Cursor losses focus when typing,Keep focus stable while typing,"Prevent the cursor from leaving this field while I type, even if the page updates."
Interaction,Manipulation,Keyboard press,Duplicate access keys,Remove duplicate keyboard shortcuts,Resolve duplicate access keys so each shortcut triggers only one clear action.
Interaction,Manipulation,Keyboard press,Inappropriate use of access keys,Use shortcuts that match my expectations,Change this shortcut to a key combination that is easier to remember and does not conflict with common browser shortcuts.
Interaction,Manipulation,Keyboard press,Inconsistent access keys,Make keyboard shortcuts consistent,Standardize shortcuts across similar actions so the same key pattern works everywhere.
Interaction,Manipulation,Keyboard press,Missing/ not working access keys,Add working keyboard shortcuts,Add or repair keyboard access for this action so I do not need a mouse.
Interaction,Manipulation,Keyboard press,Unable to navigate form one field to another using keyboard,Support keyboard-only navigation,"Make Tab, Shift+Tab, arrows, and Enter move through these fields in a logical order."
Interaction,Manipulation,Keyboard press,Unable to type,Enable text entry,"Make this field editable so I can type, paste, and correct text normally."
Interaction,Manipulation,Keyboard press,Unsupported keyboard function,Support expected keyboard functions,"Add support for the keyboard function I expect here, such as copy, paste, escape, delete, or select all."
Interaction,Manipulation,Mouse click,Mouse click not working,Make clickable elements work,"Make this element respond when I click it, or remove the clickable styling if it is not actionable."
Interaction,Manipulation,Mouse click,Mouse hover does not give focus,Support hover focus when useful,"Show focus, details, or controls when I hover over this element."
Interaction,Manipulation,Mouse click,Inconsistent mouse click behavior,Make click behavior consistent,Make similar clicks produce the same kind of result across this interface.
Interaction,Manipulation,Mouse click,Too many clicking to perform task,Reduce repetitive clicking,Combine these steps or add a shortcut so I can complete the task with fewer clicks.
Interaction,Manipulation,Finger touch,Inappropriate vibrating behavior,Remove unwanted vibration,Disable vibration or haptic feedback for this interaction.
Interaction,Manipulation,Finger touch,Incorrect click event action,Map taps to the intended action,Change this tap target so tapping it triggers the action I expect.
Interaction,Manipulation,Finger touch,Tap did not invoke action bar,Reveal touch action controls,Show the action bar or contextual controls when I tap this item.
Interaction,Manipulation,Voice control,NS,Support voice-based interaction,Add or expose voice commands for this action so it can be performed hands-free.
Interaction,Manipulation,Scrolling mechanism,Scrolling not working,Restore scrolling,Make this area scrollable so I can reach all of its content.
Interaction,Manipulation,Scrolling mechanism,Inappropriate scrolling behavior,Make scrolling predictable,Adjust scrolling so it moves at a comfortable speed and direction without unexpected jumps.
Interaction,Manipulation,Scrolling mechanism,Unable to scroll,Enable access to off-screen content,Fix this view so I can scroll to content that is currently outside the visible area.
Interaction,Manipulation,Scrolling mechanism,In appropriate use of vertical/ horizontal scroll,Use the right scroll direction,Replace the unnecessary horizontal or vertical scrolling with the direction that fits this content.
Interaction,Manipulation,Scrolling mechanism,Unbreakable scrolling axis lock,Allow flexible scrolling,Remove the forced scroll-axis lock so I can move in the direction needed to see the content.
Interaction,Manipulation,Drag and drop,Unable to drag screen (object),Make elements draggable when needed,"Allow this item or panel to be dragged to a new position, or provide an alternative move control."
Interaction,Manipulation,Zooming,Incorrect/ inappropriate zooming behavior,Make zoom comfortable,Adjust zoom behavior so I can enlarge or reduce content without breaking the layout.
Interaction,Manipulation,Zooming,Unclear visual cues that an editor is zoomed,Show zoom state clearly,"Add a visible zoom percentage, reset control, or cue when the view is zoomed."
Interaction,Functionality,Functionality,Missing,Add missing functionality,Add the missing feature or control I need to complete this task in this interface.
Interaction,Functionality,Functionality,Inadequate,Improve inadequate functionality,Expand this feature so it handles the normal cases I need instead of only a partial workflow.
Interaction,Functionality,Functionality,Preference,Adapt functionality to my preference,Let me configure this feature so it matches how I prefer to work.
Interaction,Functionality,Functionality,Irrelevant,Hide irrelevant functionality,Remove or de-emphasize this feature because it is irrelevant to my current goal.
Interaction,Functionality,Functionality,Misaligned,Align functionality with my workflow,Change this feature so it supports my actual task sequence instead of forcing a mismatched workflow.
Interaction,Functionality,Functionality,Problematic,Reduce problematic behavior,"Modify this feature to avoid the behavior that makes it confusing, disruptive, or risky for me."
Interaction,Functionality,Functionality,Technical deficiency,Work around technical limits,Add a fallback or simpler version of this feature so I can still complete the task when the original implementation fails.
Interaction,Task execution,Action,Incorrect action results,Correct action outcomes,Change this action so it produces the result its label promises.
Interaction,Task execution,Action,No action executed,Ensure actions actually run,Make this control execute its action and show confirmation that it ran.
Interaction,Task execution,Action,Incorrect action executed,Prevent wrong actions,Reconnect this control to the correct action so it no longer performs an unrelated task.
Interaction,Task execution,Action,Too many steps to task completion,Shorten task flows,Combine or skip unnecessary steps so I can finish this task faster.
Interaction,Task execution,Action,Unnecessary action to execute task,Remove unnecessary required actions,Eliminate this extra step or make it optional because it does not help my task.
Interaction,Task execution,Action,Limited accessibility to execute action,Make actions easier to access,Move this action closer to where I need it or add a visible shortcut.
Interaction,Task execution,Reversibility,Unable to undo action,Add undo capability,Add an undo option for this action so I can safely reverse mistakes.
Interaction,Task execution,Reversibility,Unclear to perform action reversal,Make reversal easy to find,"Add a clear undo, cancel, reset, or restore control near the action it reverses."
Interaction,Task execution,Reversibility,Reverting the current action works incorrectly,Make reversal reliable,Fix the revert behavior so undo restores the previous state correctly.
Interaction,Task execution,Feedback,Missing notification/ warning/ feedback message,Add missing task feedback,"Show a notification, warning, or status message after this task starts, succeeds, or fails."
Interaction,Task execution,Feedback,No summary of task in progress/ completed,Summarize task progress and completion,"Show a short summary of what is happening, what changed, and whether the task completed."
Interaction,Task execution,Feedback,Unnecessary confirmation dialogue box/ indicator/ feedback,Remove unnecessary confirmations,Skip this confirmation or replace it with a less intrusive inline indicator.
Interaction,Task execution,Feedback,Missing permission request to access other device,Request permission at the right time,"Add a clear permission request before this action needs access to another device, service, or capability."
Interaction,Task execution,Feedback,No indicator on the current state of an action in progress,Show action-in-progress state,"Add a progress, loading, or disabled state so I know the action is currently running."
Interaction,Task execution,Feedback,No indicator on what will be happened when clicking on certain button/ menu/option,Preview what an action will do,"Add a tooltip, label, or preview that explains what will happen before I click this control."
Interaction,Task execution,Feedback,No feedback when performing critical action,Confirm critical actions clearly,"Show immediate, noticeable feedback when I perform a critical or irreversible action."
