category,sub_category,defect,sample_defect
Interaction,Functionality,Functionality,Inadequate
Interaction,Functionality,Functionality,Preference
Interaction,Functionality,Functionality,Irrelevant
Interaction,Functionality,Functionality,Misaligned
Interaction,Functionality,Functionality,Problematic
Interaction,Functionality,Functionality,Technical deficiency
Interaction,Task execution,Action,Incorrect action results
Interaction,Task execution,Action,No action executed
Interaction,Task execution,Action,Incorrect action executed
Interaction,Task execution,Action,Too many steps to task completion
Interaction,Task execution,Action,Unnecessary action to execute task
Interaction,Task execution,Action,Limited accessibility to execute action
Interaction,Task execution,Reversibility,Unable to undo action
Interaction,Task execution,Reversibility,Unclear to perform action reversal
Interaction,Task execution,Reversibility,Reverting the current action works incorrectly
Interaction,Task execution,Feedback,Missing notification/ warning/ feedback message
Interaction,Task execution,Feedback,No summary of task in progress/ completed
Interaction,Task execution,Feedback,Unnecessary confirmation dialogue box/ indicator/ feedback
Interaction,Task execution,Feedback,Missing permission request to access other device
Interaction,Task execution,Feedback,No indicator on the current state of an action in progress
Interaction,Task execution,Feedback,No indicator on what will be happened when clicking on certain button/ menu/option
Interaction,Task execution,Feedback,No feedback when performing critical action
